Año ,Mes,Dia ,Hora,Velocidad ,Direccion  
2016,9,26,2,3.08,224
2016,9,26,3,3.33,264
2016,9,26,4,2.88,235
2016,9,26,5,3.13,218
2016,9,26,6,3.08,126
2016,9,26,7,3.22,254
2016,9,26,8,2.79,233
2016,9,26,9,2.92,222
2016,9,26,10,2.19,230
2016,9,26,11,2.36,71
2016,9,26,12,2.41,278
2016,9,26,13,2.34,229
2016,9,26,14,2.55,242
2016,9,26,15,2.24,48
2016,9,26,16,2.8,233
2016,9,26,17,3.49,58
2016,9,26,18,4.13,59
2016,9,26,19,3.83,237
2016,9,26,20,3.59,233
2016,9,26,21,3.28,225
2016,9,26,22,3.75,251
2016,9,26,23,3.16,68
2016,9,26,24,3.28,354
2016,9,27,1,2.79,85
2016,9,27,2,3.08,46
2016,9,27,3,3.28,66
2016,9,27,4,3.53,229
2016,9,27,5,3.65,84
2016,9,27,6,3.61,66
2016,9,27,7,3.73,59
2016,9,27,8,3.45,217
2016,9,27,9,3.43,224
2016,9,27,10,3.23,211
2016,9,27,11,3.38,9
2016,9,27,12,3.65,84
2016,9,27,13,3.49,228
2016,9,27,14,3.52,223
2016,9,27,15,3.3,233
2016,9,27,16,2.99,225
2016,9,27,17,2.89,227
2016,9,27,18,2.69,218
2016,9,27,19,3.35,234
2016,9,27,20,3.53,49
2016,9,27,21,2.65,269
2016,9,27,22,2.98,62
2016,9,27,23,3.28,72
2016,9,27,24,3.31,293
2016,9,28,1,3.37,243
2016,9,28,2,3.74,76
2016,9,28,3,3.17,269
2016,9,28,4,3.38,52
2016,9,28,5,2.7,240
2016,9,28,6,3.33,209
2016,9,28,7,3.42,232
2016,9,28,8,3.18,217
2016,9,28,9,3.89,64
2016,9,28,10,3.44,27
2016,9,28,11,3.8,226
2016,9,28,12,3.2,58
2016,9,28,13,3.66,124
2016,9,28,14,3.72,232
2016,9,28,15,3.69,276
2016,9,28,16,3.17,242
2016,9,28,17,3.43,72
2016,9,28,18,3.64,62
2016,9,28,19,3.61,224
2016,9,28,20,3.83,215
2016,9,28,21,3.56,26
2016,9,28,22,2.86,336
2016,9,28,23,3.63,61
2016,9,28,24,3.39,228
2016,9,29,1,3.63,217
2016,9,29,2,2.71,228
2016,9,29,3,3.34,228
2016,9,29,4,3.04,220
2016,9,29,5,3.13,233
2016,9,29,6,3.23,253
2016,9,29,7,3.74,229
2016,9,29,8,3.25,35
2016,9,29,9,3.83,266
2016,9,29,10,4.09,236
2016,9,29,11,3.51,230
2016,9,29,12,3.33,228
2016,9,29,13,3.25,235
2016,9,29,14,3.58,232
2016,9,29,15,3.52,226
